label,url,kind,category,confidence,year,tags,path
Les ateliers sportifs,https://ville-cabestany.fr/les-ateliers-sportifs/,page,page_information,low,,,/les-ateliers-sportifs/
Les déplacements doux,https://ville-cabestany.fr/les-deplacements-doux/,page,page_information,low,,,/les-deplacements-doux/
Les nuisibles,https://ville-cabestany.fr/les-nuisibles/,page,page_information,low,,,/les-nuisibles/
Les Rencontres du court-métrage,https://ville-cabestany.fr/les-rencontres-du-court-metrage/,page,page_information,low,,,/les-rencontres-du-court-metrage/
Les risques majeurs,https://ville-cabestany.fr/les-risques-majeurs/,page,page_information,low,,,/les-risques-majeurs/
Les services,https://ville-cabestany.fr/les-services/,page,page_information,low,,,/les-services/
Les travaux dans mon commerce,https://ville-cabestany.fr/les-travaux-dans-mon-commerce/,page,page_information,low,,,/les-travaux-dans-mon-commerce/
Les écoles maternelles,https://ville-cabestany.fr/les-ecoles-maternelles/,page,page_information,low,,,/les-ecoles-maternelles/
Les écoles élémentaires,https://ville-cabestany.fr/les-ecoles-elementaires/,page,page_information,low,,,/les-ecoles-elementaires/
Les élus,https://ville-cabestany.fr/les-elus/,page,page_information,low,,,/les-elus/
Lieu d’Accueil Enfants-Parents (LAEP),https://ville-cabestany.fr/lieu-daccueil-enfants-parents-laep/,page,page_information,low,,,/lieu-daccueil-enfants-parents-laep/
Mentions légales,https://ville-cabestany.fr/mentions-legales/,page,page_information,low,,,/mentions-legales/
Multi-accueil,https://ville-cabestany.fr/multi-accueil/,page,page_information,low,,,/multi-accueil/
Multimédias / Cyberespace,https://ville-cabestany.fr/multimedias-cyberespace/,page,page_information,low,,,/multimedias-cyberespace/
Médipôle - Avicenne,https://ville-cabestany.fr/medipole-avicenne/,page,page_information,low,,,/medipole-avicenne/
Nos permanences,https://ville-cabestany.fr/nos-permanences/,page,page_information,low,,,/nos-permanences/
Nous écrire,https://ville-cabestany.fr/contacts/,page,page_information,low,,,/contacts/
Numéros utiles,https://ville-cabestany.fr/numeros-utiles/,page,page_information,low,,,/numeros-utiles/
Parc de la Madeleine,https://ville-cabestany.fr/parc-de-la-madeleine/,page,page_information,low,,,/parc-de-la-madeleine/
Parc Guillem,https://ville-cabestany.fr/parc-guillem/,page,page_information,low,,,/parc-guillem/
Parcours de santé,https://ville-cabestany.fr/parcours-de-sante/,page,page_information,low,,,/parcours-de-sante/
Patrimoine,https://ville-cabestany.fr/patrimoine/,page,page_information,low,,,/patrimoine/
PIJ et mission locale,https://ville-cabestany.fr/pij-et-mission-locale/,page,page_information,low,,,/pij-et-mission-locale/
Plaine de jeux,https://ville-cabestany.fr/plaine-de-jeux/,page,page_information,low,,,/plaine-de-jeux/
Plan de ville,https://ville-cabestany.fr/plan-de-ville/,page,page_information,low,,,/plan-de-ville/
Plateaux sportifs,https://ville-cabestany.fr/plateaux-sportifs/,page,page_information,low,,,/plateaux-sportifs/
Politique de confidentialité,https://ville-cabestany.fr/declaration-de-confidentialite/,page,page_information,low,,,/declaration-de-confidentialite/
Pour venir...,https://ville-cabestany.fr/pour-venir/,page,page_information,low,,,/pour-venir/
Pratique Sportive,https://ville-cabestany.fr/actes-municipaux/,page,page_information,low,,,/actes-municipaux/
"Projet ""jeunes"" - CLAP",https://ville-cabestany.fr/les-projets-jeunes-clap/,page,page_information,low,,,/les-projets-jeunes-clap/
Propreté dans la ville,https://ville-cabestany.fr/proprete-dans-la-ville/,page,page_information,low,,,/proprete-dans-la-ville/
Protection Maternelle Infantile - PMI,https://ville-cabestany.fr/protection-maternelle-infantile-pmi/,page,page_information,low,,,/protection-maternelle-infantile-pmi/
Présentation des zones d'activités,https://ville-cabestany.fr/presentation-des-zones-dactivites/,page,page_information,low,,,/presentation-des-zones-dactivites/
Pétanque,https://ville-cabestany.fr/petanque/,page,page_information,low,,,/petanque/
Relais Petite Enfance - RPE,https://ville-cabestany.fr/le-relais-petite-enfance-rpe/,page,page_information,low,,,/le-relais-petite-enfance-rpe/
Restauration scolaire,https://ville-cabestany.fr/restauration-scolaire/,page,page_information,low,,,/restauration-scolaire/
S'inscrire à l'Accueil de loisirs,https://ville-cabestany.fr/sinscrire-a-laccueil-de-loisirs/,page,page_information,low,,,/sinscrire-a-laccueil-de-loisirs/
