slug,document_type,year,page,section_title,line_text,value_raw,value_numeric
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"2 460 616,50 €","2 460 616,50",2460616.50
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"756 779,35 €","756 779,35",756779.35
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"224 588,21 €","224 588,21",224588.21
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 490,90 €","1 490,90",1490.90
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"102 914,52 €","102 914,52",102914.52
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"15 950 658,15 €","15 950 658,15",15950658.15
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 501 991,04 €","1 501 991,04",1501991.04
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"366 500,96 €","366 500,96",366500.96
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"14 500,00 €","14 500,00",14500.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"0,00 €","0,00",0.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"628 856,53 €","628 856,53",628856.53
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"14 415,00 €","14 415,00",14415.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 210 501,00 €","1 210 501,00",1210501.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 350 506,59 €","1 350 506,59",1350506.59
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"3 248 801,00 €","3 248 801,00",3248801.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"7 694 028,00 €","7 694 028,00",7694028.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 536 389,00 €","1 536 389,00",1536389.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"962 250,00 €","962 250,00",962250.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"20,00 €","20,00",20.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"10 750,00 €","10 750,00",10750.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"16 545 731,00 €","16 545 731,00",16545731.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"3 280 102,00 €","3 280 102,00",3280102.00
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"7 780 587,30 €","7 780 587,30",7780587.30
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"1 628 827,76 €","1 628 827,76",1628827.76
rob-2026,rapport_orientation_budgetaire,2026,,A. Point sur l'exécution budgétaire 2025,"526 230,39 €","526 230,39",526230.39
